Site,site_Treatment, LON (NAD83 MTM (Modified Transverse Mercator) zone 6),LAT (NAD83 MTM (Modified Transverse Mercator) zone 6),LON E,LAT N
2009,12,19,0.1,0.1,-13.8
2009,12,20,1.1,0.3,-11
2009,12,21,4.3,4.1,-6.7
2009,12,22,1.3,30.5,-3.9
2009,12,23,0.2,9.3,-3.3
2009,12,24,0,0.1,-7.5
2009,12,25,0,0.3,-8.1
2009,12,26,0,100.5,-11.4
2009,12,27,5,55.6,-12.1
2009,12,28,0,6.7,-4.9
2009,12,29,17.5,4.2,-13.2
2009,12,30,0.2,0,-19.4
2009,12,31,0,3.5,-21.2
2010,1,1,0,9.8,-17
2010,1,2,9,42.4,-15.1
2010,1,3,7.1,7,-3.9
2010,1,4,9.3,3.5,-2.3
2010,1,5,4,0.8,-3.2
2010,1,6,0.6,6.1,-3.2
2010,1,7,0.7,1.6,-4.6
2010,1,8,1,1.3,-8.4
2010,1,9,1.6,0.7,-11.8
2010,1,10,0,1.5,-18.4
2010,1,11,0.6,0.4,-19.1
2010,1,12,0,0.1,-15.2
2010,1,13,0.6,0.7,-15
2010,1,14,0,0.1,-18.6
2010,1,15,0.8,1.2,-9.7
2010,1,16,2.1,0.8,-13.7
2010,1,17,0,0.1,-19.5
2010,1,18,0,0.6,-20.1
2010,1,19,0,1.8,-11.4
2010,1,20,0,0.4,-11.7
2010,1,21,2.1,0.2,-11
2010,1,22,0,0,-15.1
2010,1,23,0,0,-16.7
2010,1,24,0,23.3,-18.2
2010,1,25,19.5,53.9,-17.4
2010,1,26,8.6,4.2,-4.9
2010,1,27,0,2.1,-6.7
2010,1,28,5.2,17.9,-10
2010,1,29,12.2,11.2,-8.7
2010,1,30,2.2,0.1,-16.8
2010,1,31,0.2,2.7,-21.8
2010,2,1,1.3,0.2,-21.5
2010,2,2,0.3,0,-28.3
2010,2,3,1.4,1.1,-27
2010,2,4,0.9,0,-21.2
2010,2,5,0.6,0.1,-21.5
2010,2,6,10.4,2.4,-17.8
2010,2,7,15.2,10.6,-10.6
2010,2,8,15.5,3.7,-5
2010,2,9,0,0.1,-9
2010,2,10,0,0,-11.4
2010,2,11,0.5,0,-10.8
2010,2,12,0.2,0.1,-5.4
2010,2,13,0.8,0.9,-7.4
2010,2,14,0.4,2.6,-5.4
2010,2,15,0.1,0.3,-6.8
2010,2,16,0.2,0.7,-5.1
2010,2,17,5.3,1.9,-4.7
2010,2,18,2.9,7.2,-2.6
2010,2,19,0.4,1.6,-3.1
2010,2,20,1.9,2,-4.3
2010,2,21,8.4,2.1,-3.8
2010,2,22,0,0.7,-2.9
2010,2,23,0,16.5,-4.9
2010,2,24,0,44,-6.1
2010,2,25,0,27.4,-8.2
2010,2,26,0,13.1,-7.8
2010,2,27,0,5.7,-3.7
2010,2,28,0,1,-3.9
2010,3,1,0.4,0.1,-5.3
2010,3,2,0,0,-7.9
2010,3,3,0,0,-11.2
2010,3,4,0,0,-11.2
2010,3,5,0,0,-13.1
2010,3,6,0,0,-9
2010,3,7,0.2,0,-10.7
2010,3,8,1.3,0.1,-7.5
2010,3,9,0,0,-10.3
2010,3,10,0,0,-9.2
2010,3,11,0,0,-13.4
2010,3,12,0.1,0,-11.6
2010,3,13,0.1,0.7,-11.9
2010,3,14,0,7.3,-11.6
2010,3,15,0.1,0,-4.7
2010,3,16,0,0,-6.6
2010,3,17,0.7,0.1,-5.5
2010,3,18,1,0,-2.9
2010,3,19,1.8,0.4,-7.9
2010,3,20,0,0,-3.8
2010,3,21,0.5,3,-12.1
2010,3,22,0.3,19.1,-11.4
